,name,age,height,country,position,foot,team,joined,contract expires,goals,assists,appearances,minutes played,market value
167,Nabil Fekir,26,"1,73 m","  France
  Algeria",Midfielder - Attacking Midfield,left,"Jul 23, 2019",30.06.2023,Nike,7,6,23,3.580,€40.00m
168,Kepa,25,"1,86 m",  Spain,Goalkeeper,right,Chelsea FC,"Aug 8, 2018",30.06.2025,43,8,33,1.521,€40.00m
169,Duván Zapata,29,"1,89 m",  Colombia,Forward - Centre-Forward,right,Atalanta BC,"Jan 17, 2020",30.06.2023,12,7,19,1.209,€40.00m
170,Héctor Bellerín,25,"1,78 m",  Spain,Defender - Right-Back,right,Arsenal FC,"Jul 1, 2014",30.06.2023,1,2,16,1.553,€40.00m
171,Lucas Ocampos,25,"1,87 m",  Argentina,Forward - Right Winger,both,Sevilla FC,"Jul 3, 2019",30.06.2024,12,3,29,2.919,€40.00m
172,Florian Thauvin,27,"1,79 m",  France,Forward - Right Winger,left,"Jul 1, 2017",30.06.2021,adidas,-,-,2,2.405,€40.00m
173,Piotr Zielinski,25,"1,80 m",  Poland,Midfielder - Central Midfield,both,SSC Napoli,"Aug 4, 2016",30.06.2021,2,5,35,2.379,€40.00m
174,Andrea Belotti,26,"1,81 m",  Italy,Forward - Centre-Forward,right,"Aug 18, 2015",30.06.2022,"Dec 4, 2016",15,3,31,650,€40.00m
175,Filip Kostic,27,"1,84 m",  Serbia,Midfielder - Left Midfield,left,Eintracht Frankfurt,"Jul 1, 2019",30.06.2023,12,15,40,942,€40.00m
176,Felipe Anderson,26,"1,75 m",  Brazil,Forward - Left Winger,right,West Ham United,"Jul 15, 2018",30.06.2022,1,5,24,2.573,€40.00m
177,Samuel Umtiti,26,"1,82 m","  France
  Cameroon",Defender - Centre-Back,left,FC Barcelona,"Jul 12, 2016",30.06.2023,-,-,16,2.873,€40.00m
178,Allan,29,"1,75 m","  Brazil
  Portugal",Midfielder - Central Midfield,right,SSC Napoli,"Jul 21, 2015",30.06.2023,1,1,24,770,€40.00m
179,Marcel Sabitzer,26,"1,77 m",  Austria,Forward - Right Winger,right,RB Leipzig,"Jul 1, 2014",30.06.2022,15,8,35,2.120,€40.00m
180,Konstantinos Manolas,28,"1,89 m",  Greece,Defender - Centre-Back,right,SSC Napoli,"Jul 1, 2019",30.06.2024,3,-,27,2.957,€40.00m
181,Thorgan Hazard,27,"1,75 m",  Belgium,Forward - Left Winger,right,Borussia Dortmund,"Jul 1, 2019",30.06.2024,5,11,34,452,€38.00m
182,James Rodríguez,28,"1,81 m","  Colombia
  Spain",Midfielder - Attacking Midfield,left,Real Madrid,"Jul 22, 2014",30.06.2021,1,2,13,3.510,€38.00m
183,Joel Matip,28,"1,95 m","  Cameroon
  Germany",Defender - Centre-Back,right,Liverpool FC,"Jul 1, 2016",30.06.2024,2,-,12,1.946,€38.00m
184,Lucas Moura,27,"1,72 m",  Brazil,Forward - Right Winger,right,Tottenham Hotspur,"Jan 31, 2018",30.06.2024,7,3,39,2.650,€38.00m
185,Ángel Di María,32,"1,80 m","  Argentina
  Italy",Forward - Right Winger,left,Paris Saint-Germain,"Aug 6, 2015",30.06.2021,11,21,37,1.258,€38.00m
186,Wojciech Szczesny,29,"1,96 m",  Poland,Goalkeeper,right,Juventus FC,"Jul 19, 2017",30.06.2024,25,10,26,934,€37.00m
187,Luka Jovic,22,"1,82 m",  Serbia,Forward - Centre-Forward,both,Real Madrid,"Jul 2, 2019",30.06.2025,2,2,24,2.662,€37.00m
188,Marco Reus,30,"1,80 m",  Germany,Forward - Second Striker,right,Borussia Dortmund,"Jul 1, 2012",30.06.2023,12,7,26,450,€35.00m
189,Karim Benzema,32,"1,84 m","  France
  Algeria",Forward - Centre-Forward,both,Real Madrid,"Jul 9, 2009",30.06.2022,19,9,36,2.500,€35.00m
190,Malcom,23,"1,71 m",  Brazil,Forward - Right Winger,left,Zenit St. Petersburg,"Aug 2, 2019",30.06.2024,1,1,6,2.035,€35.00m
191,Rúben Dias,22,"1,87 m",  Portugal,Defender - Centre-Back,right,SL Benfica,"Jul 1, 2017",30.06.2024,3,2,39,2.130,€35.00m
192,Joaquín Correa,25,"1,88 m","  Argentina
  Italy",Forward - Second Striker,right,SS Lazio,"Aug 1, 2018",30.06.2024,8,4,27,772,€35.00m
193,Jack Grealish,24,"1,75 m","  England
  Ireland",Midfielder - Attacking Midfield,right,Aston Villa,"Jul 1, 2013",30.06.2023,9,8,31,1.416,€35.00m
194,Andrej Kramaric,28,"1,77 m",  Croatia,Forward - Centre-Forward,right,TSG 1899 Hoffenheim,"Jul 1, 2016",30.06.2022,7,3,15,3.070,€35.00m
195,Leon Bailey,22,"1,78 m",  Jamaica,Forward - Left Winger,left,Bayer 04 Leverkusen,"Jan 31, 2017",30.06.2023,7,1,22,1.393,€35.00m
196,Jonathan Tah,24,"1,95 m","  Germany
  Cote d'Ivoire",Defender - Centre-Back,right,Bayer 04 Leverkusen,"Jul 16, 2015",30.06.2023,-,1,32,1.996,€35.00m
197,Bruno Guimarães,22,"1,82 m","  Brazil
  Spain",Midfielder - Central Midfield,right,Olympique Lyon,"Jan 30, 2020",30.06.2024,-,-,5,2.491,€35.00m
198,Renan Lodi,21,"1,79 m",  Brazil,Defender - Left-Back,left,"Jul 7, 2019",30.06.2025,,1,3,33,180,€35.00m
199,Dejan Kulusevski,19,"1,86 m","  Sweden
  North Macedonia",Forward - Right Winger,left,"Jan 3, 2020",30.06.2020,Juventus FC,5,7,26,1.460,€35.00m
200,Sandro Tonali,19,"1,81 m",  Italy,Midfielder - Defensive Midfield,right,Brescia Calcio,"Jan 1, 2018",30.06.2021,1,5,24,1.330,€35.00m
201,Ryan Sessegnon,19,"1,78 m",  England,Midfielder - Left Midfield,left,Tottenham Hotspur,"Aug 8, 2019",30.06.2025,1,1,12,1.993,€35.00m
202,Callum Hudson-Odoi,19,"1,77 m","  England
  Ghana",Forward - Left Winger,right,Chelsea FC,"Jan 1, 2019",30.06.2024,4,6,27,2.074,€35.00m
203,Benjamin Pavard,24,"1,86 m",  France,Defender - Right-Back,right,Bayern Munich,"Jul 1, 2019",30.06.2024,2,5,35,2.913,€35.00m
204,Dan-Axel Zagadou,20,"1,96 m","  France
  Cote d'Ivoire",Defender - Centre-Back,left,"Jul 1, 2017",30.06.2022,"Jun 5, 2017",1,1,20,1.944,€35.00m
205,Christopher Nkunku,22,"1,75 m","  France
  DR Congo",Midfielder - Attacking Midfield,right,RB Leipzig,"Jul 18, 2019",30.06.2024,4,15,33,2.226,€35.00m
206,Diogo Jota,23,"1,78 m",  Portugal,Forward - Left Winger,right,Wolverhampton Wanderers,"Jul 1, 2018",30.06.2022,15,6,37,3.510,€38.00m
207,Éverton,24,"1,74 m",  Brazil,Forward - Left Winger,right,"Jan 1, 2014",31.12.2023,"Oct 4, 2019",-,1,2,1.214,€35.00m
208,Hirving Lozano,24,"1,75 m",  Mexico,Forward - Left Winger,right,SSC Napoli,"Aug 23, 2019",30.06.2024,3,2,28,2.787,€35.00m
209,Alessandro Bastoni,20,"1,90 m",  Italy,Defender - Centre-Back,left,Inter Milan,"Aug 30, 2017",30.06.2023,1,-,17,1.076,€35.00m
210,Dani Olmo,21,"1,79 m",  Spain,Midfielder - Attacking Midfield,right,RB Leipzig,"Jan 25, 2020",30.06.2024,9,8,27,3.497,€35.00m
211,Milot Rashica,23,"1,77 m","  Kosovo
  Albania",Forward - Left Winger,right,SV Werder Bremen,"Jan 31, 2018",30.06.2022,10,5,24,2.583,€35.00m
212,Steven Bergwijn,22,"1,78 m","  Netherlands
  Suriname",Forward - Left Winger,right,Tottenham Hotspur,"Jan 29, 2020",30.06.2025,8,13,36,3.126,€35.00m
213,Presnel Kimpembe,24,"1,83 m","  France
  DR Congo",Defender - Centre-Back,left,Paris Saint-Germain,"Jul 1, 2015",30.06.2023,-,-,24,2.105,€35.00m
214,Issa Diop,23,"1,94 m","  France
  Senegal",Defender - Centre-Back,right,West Ham United,"Jul 1, 2018",30.06.2023,3,-,26,2.225,€35.00m
215,Alex Meret,23,"1,90 m",  Italy,Goalkeeper,left,SSC Napoli,"Jul 1, 2019",30.06.2023,27,6,21,2.804,€35.00m
216,Rúben Dias,22,"1,87 m",  Portugal,Defender - Centre-Back,right,SL Benfica,"Jul 1, 2017",30.06.2024,3,2,39,1.764,€35.00m
217,Thilo Kehrer,23,"1,86 m","  Germany
  Burundi",Defender - Centre-Back,right,Paris Saint-Germain,"Aug 16, 2018",30.06.2023,1,-,16,1.813,€35.00m
218,Lukas Klostermann,23,"1,89 m",  Germany,Defender - Centre-Back,right,RB Leipzig,"Aug 22, 2014",30.06.2021,3,2,33,3.313,€35.00m
219,Federico Bernardeschi,26,"1,83 m",  Italy,Forward - Right Winger,left,Juventus FC,"Jul 24, 2017",30.06.2022,1,1,24,1.996,€35.00m
220,Alejandro Grimaldo,24,"1,71 m",  Spain,Defender - Left-Back,left,SL Benfica,"Jan 1, 2016",30.06.2023,1,8,39,2.605,€35.00m
221,Nico Elvedi,23,"1,89 m",  Switzerland,Defender - Centre-Back,right,Borussia Mönchengladbach,"Jul 1, 2015",30.06.2021,1,-,31,2.421,€35.00m
222,Victor Lindelöf,25,"1,87 m",  Sweden,Defender - Centre-Back,right,Manchester United,"Jul 1, 2017",30.06.2024,1,1,35,2.187,€35.00m
223,Nathan Aké,25,"1,80 m","  Netherlands
  Cote d'Ivoire",Defender - Centre-Back,left,AFC Bournemouth,"Jul 1, 2017",30.06.2022,2,1,24,2.537,€35.00m
224,Raphaël Guerreiro,26,"1,70 m","  Portugal
  France",Midfielder - Left Midfield,left,"Jul 1, 2016",30.06.2023,"Oct 17, 2019",5,5,29,2.227,€35.00m
225,Kurt Zouma,25,"1,90 m","  France
  Central African Republic",Defender - Centre-Back,right,"Jan 31, 2014",30.06.2023,Nike,1,3,33,2.913,€35.00m
226,Benjamin Mendy,25,"1,85 m","  France
  Senegal",Defender - Left-Back,left,Manchester City,"Jul 24, 2017",30.06.2023,-,4,23,2.814,€35.00m
227,Alex Oxlade-Chamberlain,26,"1,75 m",  England,Midfielder - Central Midfield,right,Liverpool FC,"Aug 31, 2017",30.06.2023,7,1,34,3.321,€35.00m
228,Nicolás Tagliafico,27,"1,72 m","  Argentina
  Italy",Defender - Left-Back,left,Ajax Amsterdam,"Jan 5, 2018",30.06.2022,5,7,38,1.097,€35.00m
229,Jordan Pickford,26,"1,85 m",  England,Goalkeeper,left,Everton FC,"Jul 1, 2017",30.06.2024,51,8,34,1.756,€35.00m
230,Christopher Nkunku,22,"1,75 m","  France
  DR Congo",Midfielder - Attacking Midfield,right,RB Leipzig,"Jul 18, 2019",30.06.2024,4,15,33,1.807,€32.00m
231,Lucas Digne,26,"1,78 m",  France,Defender - Left-Back,left,Everton FC,"Aug 1, 2018",30.06.2023,1,6,30,1.353,€32.00m
232,Matthias Ginter,26,"1,91 m",  Germany,Defender - Centre-Back,right,Borussia Mönchengladbach,"Jul 4, 2017",30.06.2021,1,1,27,1.509,€32.00m
233,Kieran Trippier,29,"1,73 m",  England,Defender - Right-Back,right,Atlético Madrid,"Jul 17, 2019",30.06.2022,-,4,26,3.166,€32.00m
234,Kevin Volland,27,"1,79 m",  Germany,Forward - Centre-Forward,left,Bayer 04 Leverkusen,"Jul 1, 2016",30.06.2021,11,9,31,1.359,€32.00m
235,Pablo Sarabia,27,"1,78 m",  Spain,Forward - Right Winger,left,Paris Saint-Germain,"Jul 2, 2019",30.06.2024,14,8,36,1.550,€32.00m
236,Bernd Leno,28,"1,89 m",  Germany,Goalkeeper,right,Arsenal FC,"Jul 1, 2018",30.06.2023,38,8,30,1.899,€32.00m
237,Steven Bergwijn,22,"1,78 m","  Netherlands
  Suriname",Forward - Left Winger,right,Tottenham Hotspur,"Jan 29, 2020",30.06.2025,8,13,36,2.850,€32.00m
238,Jordan Henderson,29,"1,87 m",  England,Midfielder - Central Midfield,right,"Jul 1, 2011",30.06.2023,"Sep 3, 2018",3,5,35,2.791,€32.00m
239,Dani Parejo,30,"1,82 m",  Spain,Midfielder - Central Midfield,right,Valencia CF,"Jul 1, 2011",30.06.2022,10,6,37,1.672,€32.00m
240,Aaron Ramsey,29,"1,82 m",  Wales,Midfielder - Central Midfield,both,Juventus FC,"Jul 1, 2019",30.06.2023,4,1,24,2.259,€32.00m
241,Luis Suárez,33,"1,82 m","  Uruguay
  Italy",Forward - Centre-Forward,right,FC Barcelona,"Jul 11, 2014",30.06.2021,14,11,23,2.150,€32.00m
242,Mason Greenwood,18,"1,81 m",  England,Forward - Centre-Forward,both,"Jul 1, 2019",30.06.2023,club option 1 year,14,4,38,2.610,€30.00m
243,Ozan Kabak,20,"1,86 m",  Turkey,Defender - Centre-Back,right,FC Schalke 04,"Jul 1, 2019",30.06.2024,3,1,21,1.085,€30.00m
244,Alex Iwobi,23,"1,83 m","  Nigeria
  England",Forward - Left Winger,right,Everton FC,"Aug 8, 2019",30.06.2024,2,1,22,3.012,€30.00m
245,Adama Traoré,24,"1,78 m","  Spain
  Mali",Forward - Right Winger,right,Wolverhampton Wanderers,"Aug 8, 2018",30.06.2023,6,10,43,1.629,€30.00m
246,Corentin Tolisso,25,"1,81 m","  France
  Togo",Midfielder - Central Midfield,right,Bayern Munich,"Jul 1, 2017",30.06.2022,3,5,24,1.606,€30.00m
247,Adrien Rabiot,25,"1,88 m",  France,Midfielder - Central Midfield,left,Juventus FC,"Jul 1, 2019",30.06.2023,-,-,24,2.501,€30.00m
248,Tiemoué Bakayoko,25,"1,89 m","  France
  Cote d'Ivoire",Midfielder - Defensive Midfield,right,AS Monaco,"Aug 31, 2019",30.06.2020,1,2,23,1.807,€30.00m
249,Iñigo Martínez,28,"1,82 m",  Spain,Defender - Centre-Back,left,"Jan 30, 2018",30.06.2023,,-,3,31,2.318,€30.00m
250,Felipe,30,"1,91 m",  Brazil,Defender - Centre-Back,right,Atlético Madrid,"Jul 1, 2019",30.06.2022,2,-,31,2.563,€30.00m
251,Stefan Savic,29,"1,87 m","  Montenegro
  Serbia",Defender - Centre-Back,right,Atlético Madrid,"Jul 20, 2015",30.06.2022,1,-,19,1.055,€30.00m
252,Thomas Müller,30,"1,86 m",  Germany,Forward - Second Striker,right,Bayern Munich,"Jul 1, 2009",30.06.2021,10,19,36,559,€30.00m
253,Gonzalo Higuaín,32,"1,84 m","  Argentina
  France",Forward - Centre-Forward,right,Juventus FC,"Jul 26, 2016",30.06.2021,8,8,34,2.722,€30.00m
254,Nikola Milenkovic,22,"1,95 m",  Serbia,Defender - Centre-Back,right,ACF Fiorentina,"Jul 1, 2017",30.06.2022,3,-,29,2.278,€30.00m
255,Phil Foden,19,"1,71 m",  England,Midfielder - Central Midfield,left,"Jul 1, 2017",30.06.2024,"Dec 10, 2018",3,7,26,4.337,€30.00m
256,Victor Osimhen,21,"1,85 m",  Nigeria,Forward - Centre-Forward,right,LOSC Lille,"Aug 1, 2019",30.06.2024,18,6,38,2.730,€30.00m
257,Samu Chukwueze,20,"1,72 m",  Nigeria,Forward - Right Winger,left,Villarreal CF,"Nov 1, 2018",30.06.2023,4,4,30,2.039,€30.00m
258,Moussa Diaby,20,"1,70 m","  France
  Mali",Forward - Left Winger,left,"Jul 1, 2019",30.06.2024,,5,6,26,1.597,€30.00m
259,Boubacar Kamara,20,"1,84 m","  France
  Senegal",Defender - Centre-Back,right,Olympique Marseille,"Jul 1, 2017",30.06.2022,2,2,28,2.513,€30.00m
260,Wesley,23,"1,91 m",  Brazil,Forward - Centre-Forward,right,Aston Villa,"Jul 1, 2019",30.06.2024,6,1,22,2.880,€30.00m
261,Amine Harit,22,"1,80 m","  Morocco
  France",Midfielder - Attacking Midfield,right,FC Schalke 04,"Jul 10, 2017",30.06.2024,7,7,27,1.005,€30.00m
262,Igor Zubeldia,23,"1,80 m",  Spain,Midfielder - Defensive Midfield,right,"Jul 1, 2017",30.06.2024,"Jun 29, 2018",-,1,31,1.035,€30.00m
263,Cengiz Ünder,22,"1,73 m",  Turkey,Forward - Right Winger,left,AS Roma,"Jul 16, 2017",30.06.2023,3,-,20,1.380,€30.00m
264,Merih Demiral,22,"1,90 m",  Turkey,Defender - Centre-Back,right,Juventus FC,"Jul 5, 2019",30.06.2024,1,1,7,90,€30.00m
265,Mikel Merino,23,"1,86 m",  Spain,Midfielder - Central Midfield,left,Real Sociedad,"Jul 12, 2018",30.06.2023,4,1,32,1.702,€30.00m
266,Dominic Calvert-Lewin,23,"1,87 m",  England,Forward - Centre-Forward,right,Everton FC,"Aug 31, 2016",30.06.2025,15,1,32,1.308,€30.00m
267,David Brooks,22,"1,73 m","  Wales
  England",Midfielder - Attacking Midfield,left,AFC Bournemouth,"Jul 1, 2018",30.06.2022,11,14,75,1.341,€30.00m
268,Yeray Álvarez,25,"1,82 m",  Spain,Defender - Centre-Back,right,"Jul 1, 2016",30.06.2026,"Jul 18, 2019",-,-,30,2.024,€30.00m
269,Ayoze Pérez,26,"1,78 m",  Spain,Forward - Second Striker,right,Leicester City,"Jul 4, 2019",30.06.2023,7,5,31,1.701,€30.00m
270,Rafa Silva,26,"1,71 m",  Portugal,Midfielder - Left Midfield,right,SL Benfica,"Aug 31, 2016",30.06.2024,9,6,25,2.463,€30.00m
271,Konrad Laimer,22,"1,80 m",  Austria,Midfielder - Central Midfield,right,RB Leipzig,"Jul 1, 2017",30.06.2023,4,4,33,2.425,€30.00m
272,Djené,28,"1,78 m",  Togo,Defender - Centre-Back,right,Getafe CF,"Jul 24, 2017",30.06.2023,-,-,32,2.044,€30.00m
273,Stefano Sensi,24,"1,68 m",  Italy,Midfielder - Central Midfield,right,Inter Milan,"Jul 2, 2019",30.06.2020,3,4,17,2.464,€30.00m
274,Thomas Lemar,24,"1,71 m","  France
  Guadeloupe",Forward - Left Winger,left,Atlético Madrid,"Jul 1, 2018",30.06.2023,-,-,24,1.595,€30.00m
275,Oleksandr Zinchenko,23,"1,75 m",  Ukraine,Defender - Left-Back,left,Manchester City,"Jul 4, 2016",30.06.2024,1,-,18,880,€30.00m
276,Ruben Loftus-Cheek,24,"1,91 m",  England,Midfielder - Central Midfield,right,Chelsea FC,"Jan 1, 2015",30.06.2024,-,1,1,2.481,€30.00m
277,Andreas Christensen,23,"1,88 m",  Denmark,Defender - Centre-Back,right,Chelsea FC,"Jul 1, 2015",30.06.2022,-,-,20,2.640,€30.00m
278,Ante Rebic,26,"1,85 m",  Croatia,Forward - Second Striker,right,AC Milan,"Sep 2, 2019",30.06.2021,10,2,24,2.135,€30.00m
279,Emerson,25,"1,75 m","  Italy
  Brazil",Defender - Left-Back,left,Chelsea FC,"Jan 30, 2018",30.06.2022,-,1,18,1.121,€30.00m
280,Alassane Plea,27,"1,81 m","  France
  Mali",Forward - Centre-Forward,right,Borussia Mönchengladbach,"Jul 13, 2018",30.06.2023,8,8,28,679,€30.00m
281,Yussuf Poulsen,25,"1,93 m","  Denmark
  Tanzania",Forward - Centre-Forward,right,RB Leipzig,"Jul 4, 2013",30.06.2022,3,11,29,3.333,€30.00m
282,Danilo Pereira,28,"1,88 m","  Portugal
  Guinea-Bissau",Midfielder - Defensive Midfield,right,FC Porto,"Jul 2, 2015",30.06.2022,-,1,30,3.228,€30.00m
283,Idrissa Gueye,30,"1,74 m",  Senegal,Midfielder - Defensive Midfield,right,"Jul 30, 2019",30.06.2023,adidas,1,2,31,2.808,€30.00m
284,Kerem Demirbay,26,"1,83 m","  Germany
  Turkey",Midfielder - Central Midfield,left,Bayer 04 Leverkusen,"Jul 1, 2019",30.06.2024,1,6,29,1.463,€28.00m
285,Callum Wilson,28,"1,80 m","  England
  Ireland",Forward - Centre-Forward,right,AFC Bournemouth,"Jul 4, 2014",30.06.2023,9,1,32,834,€28.00m
286,Willian José,28,"1,89 m","  Brazil
  Spain",Forward - Centre-Forward,right,Real Sociedad,"Jul 31, 2016",30.06.2024,9,-,30,864,€28.00m
287,Emre Can,26,"1,86 m","  Germany
  Turkey",Midfielder - Defensive Midfield,right,Borussia Dortmund,"Jan 31, 2020",30.06.2024,1,-,16,2.083,€28.00m
288,Granit Xhaka,27,"1,86 m",  Switzerland,Midfielder - Defensive Midfield,left,Arsenal FC,"Jul 1, 2016",30.06.2023,-,1,29,2.746,€28.00m
289,Mário Fernandes,São Caetano do Sul  ,29,"1,87 m","  Russia
  Brazil",Defender - Right-Back,Agencia Brasil,CSKA Moscow,"Jul 1, 2012",3,3,29,2.485,€28.00m
290,Thomas Meunier,28,"1,90 m",  Belgium,Defender - Right-Back,right,Paris Saint-Germain,"Jul 3, 2016",30.06.2020,1,2,27,2.063,€28.00m
291,Julian Draxler,26,"1,87 m",  Germany,Midfielder - Central Midfield,right,Paris Saint-Germain,"Jan 3, 2017",30.06.2021,-,7,19,2.665,€28.00m
292,Douglas Costa,29,"1,72 m",  Brazil,Forward - Right Winger,left,Juventus FC,"Jul 1, 2018",30.06.2022,2,5,18,2.273,€28.00m
293,César Azpilicueta,30,"1,78 m",  Spain,Defender - Right-Back,right,Chelsea FC,"Aug 24, 2012",30.06.2022,4,3,37,817,€28.00m
294,Toby Alderweireld,31,"1,86 m",  Belgium,Defender - Centre-Back,right,Tottenham Hotspur,"Jul 8, 2015",30.06.2023,1,2,36,878,€28.00m
295,Mats Hummels,31,"1,91 m",  Germany,Defender - Centre-Back,right,Borussia Dortmund,"Jul 1, 2019",30.06.2022,1,3,33,135,€28.00m
296,Gabriel Martinelli,18,"1,80 m","  Brazil
  Italy",Forward - Centre-Forward,right,Arsenal FC,"Jul 2, 2019",30.06.2024,10,4,26,2.411,€28.00m
297,Lucas Paquetá,22,"1,80 m","  Brazil
  Portugal",Midfielder - Attacking Midfield,left,AC Milan,"Jan 3, 2019",30.06.2023,-,1,19,3.443,€28.00m
298,Moise Kean,20,"1,83 m","  Italy
  Cote d'Ivoire",Forward - Centre-Forward,right,Everton FC,"Aug 4, 2019",30.06.2024,1,2,26,613,€28.00m
299,Donyell Malen,21,"1,79 m","  Netherlands
  Suriname",Forward - Centre-Forward,right,PSV Eindhoven,"Jul 1, 2018",30.06.2024,17,9,25,155,€28.00m
300,Daniel James,22,"1,70 m","  Wales
  England",Forward - Left Winger,right,Manchester United,"Jul 1, 2019",30.06.2024,4,7,37,1.761,€28.00m
301,Marcus Thuram,22,"1,92 m","  France
  Guadeloupe",Forward - Centre-Forward,right,Borussia Mönchengladbach,"Jul 22, 2019",30.06.2023,10,9,33,1.509,€28.00m
302,Scott McTominay,23,"1,90 m","  Scotland
  England",Midfielder - Central Midfield,right,Manchester United,"Jul 1, 2017",30.06.2023,5,1,27,2.166,€28.00m
303,Gianluca Mancini,23,"1,90 m",  Italy,Defender - Centre-Back,right,AS Roma,"Jul 17, 2019",30.06.2024,1,1,31,2.532,€28.00m
304,Tyrone Mings,27,"1,95 m","  England
  Barbados",Defender - Centre-Back,left,Aston Villa,"Jul 8, 2019",-,2,1,26,1.327,€27.00m
305,Gonçalo Guedes,23,"1,79 m",  Portugal,Forward - Left Winger,right,Valencia CF,"Aug 27, 2018",30.06.2023,-,1,14,2.082,€27.00m
306,André Gomes,26,"1,88 m",  Portugal,Midfielder - Central Midfield,right,Everton FC,"Jul 1, 2019",30.06.2024,-,-,12,1.929,€27.00m
307,Jean-Philippe Gbamin,24,"1,86 m","  Cote d'Ivoire
  France",Midfielder - Defensive Midfield,right,Everton FC,"Aug 2, 2019",30.06.2024,-,-,2,2.915,€27.00m
308,Morgan Sanson,25,"1,80 m",  France,Midfielder - Central Midfield,right,Olympique Marseille,"Jan 17, 2017",30.06.2022,5,5,30,1.125,€27.00m
309,Leander Dendoncker,24,"1,88 m",  Belgium,Midfielder - Defensive Midfield,right,Wolverhampton Wanderers,"Jul 1, 2019",-,4,-,46,3.193,€27.00m
310,Matteo Politano,26,"1,71 m",  Italy,Forward - Right Winger,left,SSC Napoli,"Jan 28, 2020",30.06.2021,-,-,22,2.779,€27.00m
311,Yannick Carrasco,26,"1,80 m","  Belgium
  Spain",Forward - Left Winger,both,Atlético Madrid,"Jan 31, 2020",30.06.2020,-,-,5,1.921,€26.00m
312,Geoffrey Kondogbia,27,"1,88 m","  Central African Republic
  France",Midfielder - Central Midfield,left,Valencia CF,"Jul 1, 2018",30.06.2022,2,-,24,223,€25.00m
313,Emil Forsberg,28,"1,79 m",  Sweden,Forward - Left Winger,right,RB Leipzig,"Jan 7, 2015",30.06.2022,10,4,27,22,€25.00m
314,Gylfi Sigurdsson,30,"1,86 m",  Iceland,Midfielder - Attacking Midfield,right,Everton FC,"Aug 16, 2017",30.06.2022,2,2,29,3.260,€25.00m
315,Willian,31,"1,75 m",  Brazil,Forward - Right Winger,right,Chelsea FC,"Aug 28, 2013",30.06.2020,7,6,37,1.441,€25.00m
316,Ismaïla Sarr,22,"1,85 m",  Senegal,Forward - Right Winger,right,Watford FC,"Aug 8, 2019",30.06.2024,6,4,21,1.747,€25.00m
317,Boubakary Soumaré,21,"1,88 m","  France
  Senegal",Midfielder - Defensive Midfield,right,LOSC Lille,"Jul 12, 2017",30.06.2022,-,1,30,1.096,€25.00m
318,Krzysztof Piatek,24,"1,83 m",  Poland,Forward - Centre-Forward,right,Hertha BSC,"Jan 30, 2020",30.06.2025,7,1,27,1.992,€25.00m
319,Wout Weghorst,27,"1,97 m",  Netherlands,Forward - Centre-Forward,right,VfL Wolfsburg,"Jul 1, 2018",30.06.2023,15,5,34,1.338,€25.00m
320,Ross Barkley,26,"1,85 m",  England,Midfielder - Central Midfield,right,"Jan 5, 2018",30.06.2023,Nike,3,4,20,1.196,€25.00m
321,Pizzi,Bragança  ,30,"1,77 m",  Portugal,Midfielder - Right Midfield,Gestifute,SL Benfica,"Jul 26, 2013",26,13,40,1.581,€25.00m
322,Axel Witsel,31,"1,88 m","  Belgium
  Martinique",Midfielder - Defensive Midfield,right,Borussia Dortmund,"Aug 6, 2018",30.06.2022,4,4,32,613,€28.00m
323,Nahitan Nández,24,"1,72 m","  Uruguay
  Italy",Midfielder - Central Midfield,right,Cagliari Calcio,"Aug 9, 2019",30.06.2024,1,4,26,1.932,€25.00m
324,Reinier,18,"1,85 m",  Brazil,Midfielder - Attacking Midfield,right,"Jan 20, 2020",30.06.2026,Real Madrid Castilla (#19),2,1,3,1.530,€25.00m
325,Gabriel Veron,17,"1,76 m",  Brazil,Forward - Right Winger,right,"Jan 1, 2020",31.12.2024,"Nov 21, 2019",-,-,1,2.026,€25.00m
326,Jonathan David,20,"1,80 m","  Canada
  United States",Midfielder - Attacking Midfield,both,KAA Gent,"Jul 1, 2018",30.06.2023,23,10,40,2.632,€25.00m
327,William Saliba,19,"1,93 m","  France
  Cameroon",Defender - Centre-Back,right,AS Saint-Étienne,"Jul 26, 2019",30.06.2020,-,-,17,1.977,€25.00m
328,Reece James,20,"1,82 m",  England,Defender - Right-Back,right,Chelsea FC,"Jul 1, 2019",30.06.2025,2,4,28,1.146,€25.00m
329,Youcef Atal,23,"1,76 m",  Algeria,Defender - Right-Back,both,OGC Nice,"Jul 17, 2018",30.06.2023,1,2,14,2.203,€25.00m
330,Jules Koundé,21,"1,84 m","  France
  Benin",Defender - Centre-Back,right,Sevilla FC,"Jul 3, 2019",30.06.2024,2,1,26,806,€25.00m
331,Exequiel Palacios,21,"1,77 m",  Argentina,Midfielder - Central Midfield,right,"Jan 1, 2020",30.06.2025,,1,1,19,1.951,€25.00m
332,Júnior Firpo,23,"1,84 m","  Spain
  Dominican Republic",Defender - Left-Back,left,FC Barcelona,"Aug 4, 2019",30.06.2024,1,1,17,2.589,€25.00m
333,Marash Kumbulla,20,"1,85 m","  Albania
  Italy",Defender - Centre-Back,right,Hellas Verona,"Jul 1, 2018",30.06.2022,1,-,19,2.396,€25.00m
